track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	3	13	177	0.005969688981774135	0.023486777576305694	0.1575875486381323	0.14903955153359416	0.01751708859453156	0.11848958333333333	0.14783652791868393	514	768
generation_clean	3	14	116	0.005924624527492636	0.014559849809696079	0.06809338521400778	0.21382179434810816	0.008635225282203443	0.044270833333333336	0.1950545004921248	514	768
generation_clean	3	15	148	0.0056216431488517295	0.011476272348927742	0.0914396887159533	0.1255064678159332	0.005854629200076012	0.045572916666666664	0.12846729216166794	514	768
generation_clean	3	16	197	0.0055800294871939694	0.014114966095554208	0.08949416342412451	0.15771940376336657	0.008534936608360239	0.0625	0.13655898573376382	514	768
generation_clean	3	17	20	0.0041806281479596545	0.00965280292107392	0.07392996108949416	0.13056686056399988	0.005472174773114266	0.044270833333333336	0.12360677134563988	514	768
generation_clean	3	18	216	0.00385281053646418	0.007111148843418472	0.04669260700389105	0.1522971043965456	0.003258338306954292	0.03125	0.10426682582253734	514	768
generation_clean	3	19	247	0.0038037644712065814	0.007492054537142565	0.04474708171206226	0.1674311318300556	0.003688290065935984	0.026041666666666668	0.1416303385319418	514	768
generation_clean	3	20	41	0.0037841508609846686	0.006327974807461977	0.058365758754863814	0.10841930170118187	0.002543823946477308	0.0234375	0.10853648838303182	514	768
prefill	3	1	58	0.022143014990929834	0.046014711267526	0.40993788819875776	0.11224800778896495	0.023871696276596167	0.2546583850931677	0.0937400756227313	161	161
prefill	3	2	240	0.014427166856651479	0.024972138478739414	0.16770186335403728	0.14890793685470538	0.010544971622087935	0.062111801242236024	0.16977404311561575	161	161
prefill	3	3	41	0.012706574571603483	0.022570680750868273	0.14906832298136646	0.15141165003707466	0.00986410617926479	0.062111801242236024	0.15881210948616312	161	161
prefill	3	4	69	0.012345864848100113	0.039960748709544226	0.36024844720496896	0.11092552659028655	0.027614883861444114	0.2484472049689441	0.11114990754231256	161	161
prefill	3	5	6	0.010109022702542193	0.0424221220740357	0.32298136645962733	0.1313454164215336	0.03231309937149351	0.2546583850931677	0.12688802436123062	161	161
prefill	3	6	204	0.009470456660828245	0.009470456660828245	0.07453416149068323	0.12706196019944563	0.0	0.0	0.0	161	161
prefill	3	7	129	0.008417858426784393	0.04746251254165142	0.2422360248447205	0.1959349876719456	0.039044654114867024	0.18012422360248448	0.21676514870667554	161	161
prefill	3	8	14	0.007795668726201664	0.009744221200605953	0.062111801242236024	0.15688196132975585	0.0019485524744042887	0.031055900621118012	0.06274338967581809	161	161
prefill	3	9	73	0.007789589275837727	0.01164213402553095	0.10559006211180125	0.11025785753591076	0.0038525447496932236	0.037267080745341616	0.1033766174501015	161	161
prefill	3	10	148	0.006528170648730477	0.009262718389628085	0.07453416149068323	0.12427480506084347	0.002734547740897608	0.018633540372670808	0.1467540620948383	161	161
prefill	3	11	182	0.006083935577465799	0.012030182430365525	0.15527950310559005	0.07747437485155399	0.005946246852899726	0.07453416149068323	0.07977881194307132	161	161
prefill	3	12	141	0.005703652930268232	0.005703652930268232	0.049689440993788817	0.11478601522164818	0.0	0.0	0.0	161	161
prefill	3	13	62	0.005703478604285078	0.00928843466684406	0.08074534161490683	0.11503369087399183	0.003584956062558983	0.031055900621118012	0.11543558521439926	161	161
prefill	3	14	52	0.005545573811571195	0.005545573811571195	0.049689440993788817	0.1116046729578703	0.0	0.0	0.0	161	161
prefill	3	15	25	0.005537011698927549	0.03275779084354211	0.2981366459627329	0.1098750901210475	0.027220779144614564	0.2732919254658385	0.09960330550643055	161	161
prefill	3	16	45	0.004600735456666639	0.004863515859068531	0.043478260869565216	0.11186086475857622	0.0002627804024018919	0.006211180124223602	0.0423076447867046	161	161
prefill	3	17	155	0.004262417247036458	0.0052827758068111534	0.049689440993788817	0.10631586311207447	0.0010203585597746956	0.012422360248447204	0.082138864061863	161	161
prefill	3	18	20	0.004019618426893598	0.01559011356771229	0.08074534161490683	0.19307756033859066	0.011570495140818692	0.08695652173913043	0.13306069411941496	161	161
prefill	3	19	61	0.003770271434158806	0.00575343064764384	0.055900621118012424	0.1029224815856287	0.001983159213485034	0.024844720496894408	0.07982215834277262	161	161
prefill	3	20	209	0.0031453086383663315	0.024744229768320542	0.12422360248447205	0.19919104963498035	0.02159892112995421	0.14285714285714285	0.15119244790967948	161	161
generation_clean	4	1	137	0.012528044193595501	0.024610526456730227	0.17509727626459143	0.14055345109732598	0.012082482263134726	0.11067708333333333	0.10916878091867611	514	768
generation_clean	4	2	172	0.010347887976623116	0.014878512909767255	0.12062256809338522	0.12334767154226402	0.004530624933144139	0.03515625	0.1288711092094333	514	768
generation_clean	4	3	51	0.010292828027936768	0.028607777776486848	0.23929961089494164	0.11954794940743284	0.01831494974855008	0.14713541666666666	0.1244768266096147	514	768
